"","term","pos.neg"
"1841","ghast","negative"
"1842","ghetto","negative"
"1843","ghost","negative"
"1844","gibber","negative"
"1845","gibberish","negative"
"1847","giddi","negative"
"1848","gimmick","negative"
"1852","gimmicki","negative"
"1856","glibli","negative"
"1857","glitch","negative"
"1860","gloom","negative"
"1861","gloomi","negative"
"1862","glower","negative"
"1863","glum","negative"
"1865","gnaw","negative"
"1866","goad","negative"
"1868","god-aw","negative"
"1869","goof","negative"
"1871","goon","negative"
"1872","gossip","negative"
"1873","graceless","negative"
"1875","graft","negative"
"1877","grappl","negative"
"1882","greed","negative"
"1883","greedi","negative"
"1884","grief","negative"
"1885","grievanc","negative"
"1887","griev","negative"
"1889","grievous","negative"
"1892","grimac","negative"
"1893","grind","negative"
"1894","gripe","negative"
"1896","grisli","negative"
"1898","gross","negative"
"1899","grossli","negative"
"1900","grotesqu","negative"
"1901","grouch","negative"
"1902","grouchi","negative"
"1903","groundless","negative"
"1905","growl","negative"
"1906","grudg","negative"
"1910","gruesom","negative"
"1912","gruff","negative"
"1913","grumbl","negative"
"1914","grumpier","negative"
"1915","grumpiest","negative"
"1916","grumpili","negative"
"1917","grumpish","negative"
"1918","grumpi","negative"
"1920","guilt","negative"
"1921","guiltili","negative"
"1922","guilti","negative"
"1923","gullibl","negative"
"1924","gutless","negative"
"1925","gutter","negative"
"1928","haggard","negative"
"1929","haggl","negative"
"1930","hairloss","negative"
"1931","halfheart","negative"
"1933","hallucin","negative"
"1935","hamper","negative"
"1937","handicap","negative"
"1940","haphazard","negative"
"1941","hapless","negative"
"1942","harangu","negative"
"1943","harass","negative"
"1947","harbor","negative"
"1950","hard-hit","negative"
"1951","hard-lin","negative"
"1953","hardbal","negative"
"1954","harden","negative"
"1956","hardhead","negative"
"1957","hardheart","negative"
"1958","hardlin","negative"
"1960","hardship","negative"
"1962","harm","negative"
"1966","harpi","negative"
"1967","harridan","negative"
"1968","harri","negative"
"1969","harrow","negative"
"1972","hassel","negative"
"1973","hassl","negative"
"1977","hastili","negative"
"1978","hasti","negative"
"1979","hate","negative"
"1984","hater","negative"
"1988","hatr","negative"
"1989","haughtili","negative"
"1993","havoc","negative"
"1995","haywir","negative"
"1996","hazard","negative"
"1998","haze","negative"
"2000","head-ach","negative"
"2001","headach","negative"
"2003","heartbreak","negative"
"2006","heartless","negative"
"2007","heathen","negative"
"2008","heavy-hand","negative"
"2009","heavyheart","negative"
"2010","heck","negative"
"2011","heckl","negative"
"2014","hectic","negative"
"2015","hedg","negative"
"2019","hegemon","negative"
"2020","hegemonist","negative"
"2021","hegemoni","negative"
"2022","heinous","negative"
"2023","hell","negative"
"2024","hell-bent","negative"
"2025","hellion","negative"
"2027","helpless","negative"
"2030","heresi","negative"
"2031","heret","negative"
"2034","hestit","negative"
"2035","hideous","negative"
"2038","high-pric","negative"
"2039","hiliari","negative"
"2040","hinder","negative"
"2041","hindranc","negative"
"2042","hiss","negative"
"2045","ho-hum","negative"
"2047","hoax","negative"
"2048","hobbl","negative"
"2049","hog","negative"
"2050","hollow","negative"
"2051","hoodium","negative"
"2052","hoodwink","negative"
"2053","hooligan","negative"
"2054","hopeless","negative"
"2057","hord","negative"
"2058","horrend","negative"
"2060","horribl","negative"
"2061","horrid","negative"
"2062","horrif","negative"
"2063","horrifi","negative"
"2068","hostag","negative"
"2069","hostil","negative"
"2072","hotb","negative"
"2073","hothead","negative"
"2075","hothous","negative"
"2076","hubri","negative"
"2077","huckster","negative"
"2079","humid","negative"
"2080","humili","negative"
"2084","hung","negative"
"2085","hurt","negative"
"2090","hustler","negative"
"2091","hype","negative"
"2092","hypocrici","negative"
"2093","hypocrisi","negative"
"2094","hypocrit","negative"
"2098","hysteria","negative"
"2099","hyster","negative"
"2103","idioci","negative"
"2105","idiot","negative"
"2109","idl","negative"
"2110","ignobl","negative"
"2111","ignomini","negative"
"2114","ignor","negative"
"2117","ill-advis","negative"
"2118","ill-conceiv","negative"
"2119","ill-defin","negative"
"2120","ill-design","negative"
"2121","ill-fat","negative"
"2122","ill-favor","negative"
"2123","ill-form","negative"
"2124","ill-mann","negative"
"2125","ill-natur","negative"
"2126","ill-sort","negative"
"2127","ill-temp","negative"
"2128","ill-treat","negative"
"2130","ill-usag","negative"
"2131","ill-us","negative"
"2132","illeg","negative"
"2134","illegitim","negative"
"2135","illicit","negative"
"2136","illiter","negative"
"2137","ill","negative"
"2138","illog","negative"
"2141","illus","negative"
"2143","illusori","negative"
"2145","imbal","negative"
"2146","imbecil","negative"
"2147","imbroglio","negative"
"2148","immateri","negative"
"2149","immatur","negative"
"2150","immin","negative"
"2153","immoder","negative"
"2155","immodest","negative"
"2156","immor","negative"
"2160","impair","negative"
"2163","impati","negative"
"2166","impeach","negative"
"2167","imped","negative"
"2169","impedi","negative"
"2170","impend","negative"
"2171","impenit","negative"
"2177","imperil","negative"
"2180","impermiss","negative"
"2181","imperson","negative"
"2182","impertin","negative"
"2183","impetu","negative"
"2185","impieti","negative"
"2186","imping","negative"
"2188","implac","negative"
"2189","implaus","negative"
"2193","implod","negative"
"2197","importun","negative"
"2199","impositive","negative"
"2200","impositiv","negative"
"2201","imposit","negative"
"2202","impositiveit","negative"
"2203","impositives","negative"
"2204","impositivesibl","negative"
"2206","impot","negative"
"2207","impoverish","negative"
"2210","imprec","negative"
"2214","imprison","negative"
"2219","improp","negative"
"2221","improprieti","negative"
"2222","imprud","negative"
"2227","impugn","negative"
"2233","inabl","negative"
"2234","inaccuraci","negative"
"2236","inaccur","negative"
"2238","inact","negative"
"2240","inadequaci","negative"
"2243","inadver","negative"
"2245","inadvis","negative"
"2247","inan","negative"
"2249","inappropri","negative"
"2251","inapt","negative"
"2252","inaptitud","negative"
"2254","inattent","negative"
"2255","inaud","negative"
"2256","incap","negative"
"2259","incendiari","negative"
"2261","incess","negative"
"2263","incit","negative"
"2265","incivil","negative"
"2266","inclement","negative"
"2267","incogniz","negative"
"2268","incoher","negative"
"2272","incompar","negative"
"2274","incompat","negative"
"2277","incompet","negative"
"2281","incompli","negative"
"2284","inconceiv","negative"
"2286","incongru","negative"
"2289","inconsequenti","negative"
"2294","inconsist","negative"
"2298","inconsol","negative"
"2303","incorrect","negative"
"2305","incorrig","negative"
"2309","inculc","negative"
"2310","indec","negative"
"2316","indecorum","negative"
"2317","indefens","negative"
"2322","indiffer","negative"
"2324","indig","negative"
"2325","indign","negative"
"2329","indiscern","negative"
"2330","indiscreet","negative"
"2332","indiscret","negative"
"2333","indiscrimin","negative"
"2336","indistinguish","negative"
"2337","indoctrin","negative"
"2339","indol","negative"
"2341","ineffect","negative"
"2344","ineffectu","negative"
"2347","inefficaci","negative"
"2349","ineffici","negative"
"2352","ineleg","negative"
"2354","inelig","negative"
"2355","ineloqu","negative"
"2358","ineptitud","negative"
"2362","inequit","negative"
"2365","inescap","negative"
"2367","inessenti","negative"
"2368","inevit","negative"
"2370","inexcus","negative"
"2372","inexor","negative"
"2375","inexperienc","negative"
"2376","inexpert","negative"
"2378","inexpi","negative"
"2379","inexplain","negative"
"2380","inextric","negative"
"2382","infam","negative"
"2384","infami","negative"
"2388","inferior","negative"
"2390","infern","negative"
"2391","infest","negative"
"2395","infiltr","negative"
"2398","inflam","negative"
"2399","inflamm","negative"
"2400","inflammatori","negative"
"2403","inflationari","negative"
"2404","inflex","negative"
"2405","inflict","negative"
"2406","infract","negative"
"2407","infring","negative"
"2410","infuri","negative"
"2414","inglori","negative"
"2415","ingrat","negative"
"2416","ingratitud","negative"
"2419","inhospit","negative"
"2421","inhuman","negative"
"2424","inim","negative"
"2426","iniquit","negative"
"2427","iniqu","negative"
"2428","injudici","negative"
"2429","injur","negative"
"2430","injuri","negative"
